"","Collaborative","Date","Dogs","Equipment","NoActivity","Other","Power_Boats","Powered.Boats","Precipation","Precipitation","Ratio","Ratio_LESA","Ratio_WESA","RecordID","Sea_State","Site","SiteID","SiteName","Survey.Site","Tide_End","Tide_Start","Tide_State_End","Tide_State_Start","Time_End","Time_Start","Unpowered.Boats","Unpowered_Boat","Vis_Reason","Visibility","Walkers","Weather","YES_NO_WESA_Obs","Year","Month","Day"
"218","",2014-07-20,"","Nikon Monarch camera","","","","","","","","","","COMX2014720","Rippled","","COMX","","Comox Harbour","Mid-tide","Mid-low ","","","10:30","9:00",NA,"","","1 Km","","clear","no peeps","2014","7","20"
"219","Single Observer",2015-07-19,"","","","","","","","","","","","BB042015719","","","BB04","Boundary Bay 104","","","","","","19:45","17:15",NA,"","","","","","I did not observe any Western Sandpipers during the entire survey","2015","7","19"
"220","",2014-07-21,"","Nikon Monarch camera","","","","","","","","","","COMX2014721","Rippled","","COMX","","Comox Harbour","Mid-high ","Mid-low ","","","12:30","10:00",NA,"","","1 Km","","clear","no peeps","2014","7","21"
"221","I saw at least 1 WESA during the survey",2014-08-17,"","Binoculars","","","","","None","","","","","COMX2014817","Calm","","COMX","","Comox Harbour","11","6.6","Mid-high ","Mid-low ","800","730",NA,"","","1km","","Clear","Yes","2014","8","17"
"222","I saw at least 1 WESA during the survey",2014-08-18,"","Binoculars","","","","","None","","","","","COMX2014818","Rippled","","COMX","","Comox Harbour","8.8","5.7","Mid-high ","Mid-low ","1030","1000",NA,"","","1km","","Clear","Yes","2014","8","18"
"223","Collaborative",2015-08-14,"7.0","Binoculars","","","","38.0","None","","","","","WHIF2015814","Rippled","","WHIF","Whiffin Spit Park","","15","60","Mid-high ","Mid-tide","12:30","10:00",NA,"","","1km","17.0","Overcast","I saw at least 1 WESA during the survey","2015","8","14"
"224","Collaborative",2014-07-18,"","Both Binoculars and Scope","No activity","","","","","None","","","","EIDE2014718","Calm","Eide Rd","EIDE","","","mid ~ 5 ft","low ~ 3ft","Mid-low","Low-tide","0.770833333","0.666666667",NA,"","","1km","","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2014","7","18"
"225","",2013-08-18,"","Spotting scope","No activity","","","","","None","","","","SJEN2013818","Calm","Jensens_S","SJEN","","","","","High-tide","Mid-high","'12:00","'10:00",NA,"","","500m","","Overcast","I saw at least 1 WESA during the survey","2013","8","18"
"226","Collaborative",2014-07-21,"2","Both Binoculars and Scope","","","","","","None","3 WESA","","","ISVI2014721","Rippled","Island View","ISVI","","","mid-low tide","low tide","Mid-low","Low-tide","0.4375","0.333333333",NA,"","","1km","3","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","7","21"
"227","Single Observer",2013-07-20,"4.0","Both","","","","","None","","","","","BBMB2013720","Calm","","BBMB","","Boundary Bay Mud Bay","","","Mid-high ","Low-tide","16:00","13:30",NA,"","","1km","6.0","Clear","I did not observe any Western Sandpipers during the entire survey","2013","7","20"
"228","Collaborative",2014-07-19,"","Both Binoculars and Scope","No activity","","","","","Rain","None","","","ENBO2014719","Rippled","English Boom","ENBO","","","2 feet","0.5 feet","Mid-high","Low-tide","0.39583333299999995","0.291666667",NA,"","","1km","","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","7","19"
"229","Independent",2014-07-19,"","Both Binoculars and Scope","","","","","","None","","","","SJEN2014719","Calm","Jensens Bay - South","SJEN","","","High","Low in the bay; Mid-tide overall","High-tide","Mid-low","0.760416667","0.666666667",NA,"2","","500m","","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","7","19"
"230","Collaborative",2014-08-17,"","Both Binoculars and Scope","","","","","","None","","","","SJEN2014817","Calm","Jensens Bay - South","SJEN","","","high-tide","mid-tide","High-tide","Mid-tide","0.75","0.666666667",NA,"","Other","500m","","Clear","I saw at least 1 WESA during the survey","2014","8","17"
"231","Independent",2014-07-20,"","Both Binoculars and Scope","","","","","","None","","","","SJEN2014720","Calm","Jensens Bay - South","SJEN","","","high","Low in the bay; Mid-tide overall","High-tide","Mid-low","0.791666667","0.666666667",NA,"","","500m","1","Overcast","I saw at least 1 WESA during the survey","2014","7","20"
"232","Collaborative",2013-07-20,"1.0","Both","","","6.0","","None","","","","","COBE2013720","Choppy","","COBE","","Columbia Beach","","","Mid-tide","Mid-low ","13:30","11:00",NA,"","","1km","12.0","Clear","I did not observe any Western Sandpipers during the entire survey","2013","7","20"
"233","",2014-07-18,"","Both Binoculars and Scope","No activity","","","","","None","","","","COWC2014718","Rippled","Cowichan Bay","COWC","","","mid-tide","mid-tide","Mid-tide","Mid-tide","0.708333333","0.625",NA,"","","1km","","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","7","18"
"234","",2014-07-19,"1","Both Binoculars and Scope","","","","","","None","","","","COWC2014719","Calm","Cowichan Bay","COWC","","","mid-tide","mid-tide","Mid-tide","Mid-tide","0.39583333299999995","0.3125",NA,"","","1km","","Overcast","I saw at least 1 WESA during the survey","2014","7","19"
"235","Independent",2014-08-18,"1","Binoculars-only","","","","","","None","","","","COBE2014818","Rippled","Columbia Beach","COBE","","","10 ft","100 ft","Mid-low","Mid-low","0.5","0.395833333",NA,"1","","1km","2","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2014","8","18"
"236","",2014-07-20,"","Both Binoculars and Scope","No activity","","","","","None","","","","COWC2014720","Calm","Cowichan Bay","COWC","","","mid-tide","mid-tide","Mid-tide","Mid-tide","0.41666666700000005","0.333333333",NA,"","","1km","","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","7","20"
"237","",2013-07-21,"'10-20","Binoculars-only","","","0","","","None","","","","BBSV2013721","Calm","Boundary Bay- Seaview","BBSV","","","High-Tide","Low-Tide","High-tide","Low-tide","1700","1430",NA,"0","","1km","75-100","Clear","I saw at least 1 WESA during the survey","2013","7","21"
"238","",2013-07-22,"2","Binoculars-only","","","","","","None","","","","PNMA2013722","","Panama Flats","PNMA","","","","","","","1330","1100",NA,"","","1km","3","Clear","I did not observe any Western Sandpipers during the entire survey","2013","7","22"
"239","",2014-07-21,"","Both Binoculars and Scope","No activity","","","","","None","","","","COWC2014721","Calm","Cowichan Bay","COWC","","","mid-tide","mid-tide","Mid-tide","Mid-tide","0.45833333299999995","0.375",NA,"","","1km","","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2014","7","21"
"240","Independent",2014-07-20,"","Both Binoculars and Scope","No activity","","","","","","3 WESA: 0 LESA","","","EIDE2014720","Calm","Eide Rd","EIDE","","","","","","","0.41666666700000005","0.3125",NA,"","","<100","","Overcast","I saw at least 1 WESA during the survey","2014","7","20"
"241","Single Observer",2015-07-19,"","Both Binoculars and Scope","No activity","","","","","None","0 WESA  0 LESA","","","FANY2015719","Rippled","","FANY","Fanny Bay","","3.7","1.9","Mid-high","Mid-low","7:00:00 PM","4:30:00 PM",NA,"","","1km","","Clear","I did not observe any Western Sandpipers during the entire survey","2015","7","19"
"242","Independent",2014-07-19,"","Binoculars-only","","","","","","None","","","","BB722014719","","Boundary Bay - 72nd","BB72","","","high tide","mid low","High-tide","Mid-low","0.572916667","0.458333333",NA,"","","1km","","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2014","7","19"
"243","",2014-07-20,"11","Both Binoculars and Scope","","","10.0","","","None","79 WESA; 6 LESA","","","WHIF2014720","Rippled","Whiffin Spit Park","WHIF","","","1.6 M","1.3 M","Mid-high","Mid-high","0.381944444","0.284722222",NA,"O","","1km","21","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","7","20"
"244","Single Observer",2014-07-18,"","Both Binoculars and Scope","No activity","","","","","None","Not possible","","","BB042014718","Choppy","Boundary Bay - 104th","BB04","","","3.3m - mid-high","2.9 m - mid-tide","Mid-high","Mid-tide","0.47916666700000005","0.375",NA,"","Glare","500m","","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","7","18"
"245","Collaborative",2015-07-20,"","Both","","","","","None","","","0.0","","RBBP2015720","Calm","","RBBP","Roberts Bank","","","","High-tide","Mid-tide","19:45","18:00",NA,"","","1km","","","I saw at least 1 WESA during the survey","2015","7","20"
"246","",2014-07-19,"10","Both Binoculars and Scope","","","11.0","","","None","0;0","","","WHIF2014719","Rippled","Whiffin Spit Park","WHIF","","","1.8 M","1.5 M","Mid-high","Mid-high","0.378472222","0.284722222",NA,"0","","1km","19","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","7","19"
"247","Single Observer",2014-07-20,"","Both Binoculars and Scope","No activity","","","","","Rain","Not possible","","","BB042014720","Rippled","Boundary Bay - 104th","BB04","","","3.5 m mid-high","3.0m mid-tide","Mid-high","Mid-tide","0.604166667","0.5",NA,"","","1km","","Overcast","I saw at least 1 WESA during the survey","2014","7","20"
"248","Collaborative",2014-07-20,"","Both Binoculars and Scope","","","","","","None","","","","ESQU2014720","","Esquimalt Lagoon","ESQU","","","mid-low","mid-low","Mid-low","Mid-low","0.39583333299999995","0.291666667",NA,"","","1km","1","Overcast","I saw at least 1 WESA during the survey","2014","7","20"
"249","Independent",2014-07-21,"2","Both Binoculars and Scope","","","4.0","","","None","","","","DEEP2014721","","Deep Bay","DEEP","","","3.3","2","Mid-high","Mid-low","0.5625","0.458333333",NA,"","","1km","4","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2014","7","21"
"250","Independent",2014-07-19,"0","Both Binoculars and Scope","","","0.0","","","None","","","","NANO2014719","Calm","Nanoose bay","NANO","","","Mid tide","Low tide","Mid-tide","Low-tide","0.45833333299999995","0.354166667",NA,"0","","500m","0","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","7","19"
"251","Independent",2014-07-20,"","Spotting scope","","","","","","None","4 WESA to 0 LESA","","","NANO2014720","Calm","Nanoose bay","NANO","","","Mid tide","Low tide","Mid-tide","Low-tide","0.0","0.395833333",NA,"","","500m","","Overcast","I saw at least 1 WESA during the survey","2014","7","20"
"252","Collaborative",2014-07-19,"","Both Binoculars and Scope","No activity","","","","","None","n/a","","","PEDD2014719","Calm","Pedder Bay","PEDD","","","1.6 metres","1.4 metres","Mid-high","Mid-high","0.39583333299999995","0.291666667",NA,"","","1km","","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","7","19"
"253","Collaborative",2014-07-20,"","Both Binoculars and Scope","","","","","","None","n/a","","","PEDD2014720","Rippled","Pedder Bay","PEDD","","","1.4 metres","1.2 metres","Mid-high","Mid-tide","0.39583333299999995","0.291666667",NA,"","","1km","8","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2014","7","20"
"254","",2013-08-18,"","Spotting scope","","","","","","None","","","","NJEN2013818","Calm","Jensens_N","NJEN","","","","","High-tide","Mid-high","'12:30","'10:00",NA,"","","1km","","Overcast","I saw at least 1 WESA during the survey","2013","8","18"
"255","Collaborative",2014-07-20,"0","Both Binoculars and Scope","","","0.0","","","None","","","","MAPL2014720","Rippled","Maplewood","MAPL","","","High-tide","Mid-high","High-tide","Mid-high","0.60625","0.5",NA,"0","","1km","1","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","7","20"
"256","",2013-07-20,"","Spotting scope","","","","","","None","","","","SANM2013720","Rippled","San Malo Bay","SANM","","","Low-tide","Low-tide","Low-tide","Low-tide","'13:30","'11:30",NA,"","Glare","500m","9","Clear","","2013","7","20"
"257","Collaborative",2015-08-16,"","","No activity","","","","","None","8 WESA; 14 LESA","","","PEDD2015816","Calm","","PEDD","Pedder Bay","","1.3 metres","0.8 metres","Mid-tide","Low-tide","1:30:00 PM","11:00:00 AM",NA,"","","1km","","Partly-Cloudy","I saw at least 1 WESA during the survey","2015","8","16"
"258","Collaborative",2014-07-19,"3","Both Binoculars and Scope","","","3.0","","","None","0 WESA, 0 LESA","","","ISVI2014719","Choppy","Island View","ISVI","","","Mid-high","Mid-tide","Mid-high","Mid-tide","0.4375","0.333333333",NA,"0","","1km","3","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","7","19"
"259","Collaborative",2014-07-20,"4","Both Binoculars and Scope","","","2.0","","","","0 WESA, 0 LESA","","","ISVI2014720","Rippled","Island View","ISVI","","","mid-low tide","low tide","Mid-low","Low-tide","0.4375","0.333333333",NA,"","","1km","7","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","7","20"
"260","Collaborative",2014-07-19,"","Both Binoculars and Scope","No activity","","","","","None","32 WESA","","","FRCR2014719","Calm","French Creek","FRCR","","","3 m","2.5 m","Mid-high","Mid-low","0.5","0.395833333",NA,"","","1km","","Clear","I saw at least 1 WESA during the survey","2014","7","19"
"261","Independent",2014-07-19,"1","Both Binoculars and Scope","","","","","","None","4 WESA; 2 LESA","","","SANM2014719","Rippled","San Malo Bay","SANM","","","Mid-high","Low-tide","Mid-high","Low-tide","0.5","0.416666667",NA,"","","1km","4","Clear","I saw at least 1 WESA during the survey","2014","7","19"
"262","Single Observer",2014-08-16,"19","Both Binoculars and Scope","","","33.0","","","None","5 WESA 2 LESA","","","WHIF2014816","Rippled","Whiffin Spit Park","WHIF","","","14 meters","15 meters","Mid-tide","Mid-low","0.604166667","0.5",NA,"3","Weather","500m","84","Overcast","I saw at least 1 WESA during the survey","2014","8","16"
"263","Collaborative",2014-08-15,"","Both Binoculars and Scope","No activity","","","","","None","150, 0","","","EIDE2014815","Calm","Eide Rd","EIDE","","","6'","3'","Mid-low","Low-tide","0.729166667","0.625",NA,"","","1km","","Overcast","I saw at least 1 WESA during the survey","2014","8","15"
"264","Single Observer",2014-07-19,"","Both","","","","","None","","","","","RBBP2014719","Rough","","RBBP","","Roberts Bank","","","Mid-high ","Low-tide","13:30","11:00",NA,"","Glare","500m","","Overcast","I saw at least 1 WESA during the survey","2014","7","19"
"265","Single Observer",2015-07-18,"8.0","Both Binoculars and Scope","","","","","","None","0 WESA, 0 LESA","","","NANO2015718","Calm","","NANO","Nanoose Bay","","High tide","Mid tide","High-tide","Mid-tide","7:00:00 PM","4:30:00 PM",NA,"","","1km","21","Clear","I did not observe any Western Sandpipers during the entire survey","2015","7","18"
"266","Collaborative",2014-08-17,"","Both Binoculars and Scope","No activity","","","","","None","8, 0","","","EIDE2014817","Calm","Eide Rd","EIDE","","","6 ft","2 ft","Mid-low","Low-tide","0.39583333299999995","0.291666667",NA,"","Weather","100m","","Fog","I saw at least 1 WESA during the survey","2014","8","17"
"267","",2013-08-17,"","Spotting scope","","","","","","None","","","","ROGH2013817","Rippled","Rough Bay","ROGH","","","2.8 m","2.5 m","Mid-low","Low-tide","1834","1600",NA,"","","1km","4","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","17"
"268","Collaborative",2014-08-16,"","Both Binoculars and Scope","No activity","","","","","None","4 WESA; 1 LESA","","","FRCR2014816","Rippled","French Creek","FRCR","","","3.9 m","3.2 m","Mid-high","Mid-low","0.41666666700000005","0.3125",NA,"","","1km","","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","8","16"
"269","Collaborative",2015-08-15,"0.0","Both","","","","0.0","None","","","","","BB922015815","Calm","","BB92","Boundary Bay 92","","","","High-tide","Mid-low","18:30","16:00",0,"","Glare","500m","0.0","Partly-cloudy","I saw at least 1 WESA during the survey","2015","8","15"
"270","Single Observer",2014-08-16,"","Both Binoculars and Scope","","","","","","None","","","","SJEN2014816","Calm","Jensens Bay - South","SJEN","","","High-tide","Mid-low","High-tide","Mid-low","0.71875","0.625",NA,"","Other","500m","","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","8","16"
"271","Collaborative",2014-08-17,"1 dog","Both Binoculars and Scope","","","","","","None","6 WESA; 1 LESA","","","FRCR2014817","Calm","French Creek","FRCR","","","3.9 m","2.3","Mid-high","Mid-low","0.45833333299999995","0.354166667",NA,"","","1km","1 walker","Clear","I saw at least 1 WESA during the survey","2014","8","17"
"272","",2013-07-21,"","Spotting scope","No activity","","","","","None","","","","SJEN2013721","","Jensens_S","SJEN","","","","","Mid-low","Mid-low","'20:00","'17:30",NA,"","","500m","","Overcast","I did observe any Western Sandpipers during the entire survey","2013","7","21"
"273","Independent",2014-08-15,"","Both Binoculars and Scope","","","","","","Snow","0","","","NANO2014815","Calm","Nanoose bay","NANO","","","3.5","2.3m","Mid-high","Mid-low","0.791666667","0.6875",NA,"","","1km","","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","8","15"
"274","Independent",2014-08-16,"","","","","","","","None","6 WESA","","","NANO2014816","Calm","Nanoose bay","NANO","","","3.7m","2.4m","Mid-high","Mid-low","0.41666666700000005","0.3125",NA,"","","1km","","Overcast","I saw at least 1 WESA during the survey","2014","8","16"
"275","Independent",2014-08-17,"","","","","","","","None","0","","","NANO2014817","Calm","Nanoose bay","NANO","","","3.6m","2.4m","Mid-high","Mid-low","0.45833333299999995","0.354166667",NA,"","","1km","","Clear","I did not observe any Western Sandpipers during the entire survey","2014","8","17"
"276","",2013-08-19,"","Spotting scope","","","","","","None","","","","NJEN2013819","Calm","Jensens_N","NJEN","","","","","High-tide","Mid-tide","'12:15","'10:00",NA,"","","1km","","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","19"
"277","Independent",2014-08-17,"1","Both Binoculars and Scope","","","","","","None","","","","ENBO2014817","Rippled","English Boom","ENBO","","","high tide","mid-tide","High-tide","Mid-tide","0.39583333299999995","0.291666667",NA,"","","100m","5","Fog","I did not observe any Western Sandpipers during the entire survey","2014","8","17"
"278","Collaborative",2014-08-15,"","Both Binoculars and Scope","","","","","","None","90 WESA; 10 LESA","","","SJEN2014815","Calm","Jensens Bay - South","SJEN","","","High","Mid-high","High-tide","Mid-high","0.65625","0.614583333",NA,"","","500m","","Overcast","I saw at least 1 WESA during the survey","2014","8","15"
"279","",2014-08-18,"1","Both","","","","","None","","","","","ROGH2014818","Rippled","","ROGH","","Rough Bay","","","Low-tide","Mid-low ","1500","1230",NA,"","","1km","2","Clear","I did not observe any Western Sandpipers during the entire survey","2014","8","18"
"280","Collaborative",2014-08-17,"","Both Binoculars and Scope","No activity","","","","","None","unknown","","","COWC2014817","Calm","Cowichan Bay","COWC","","","mid-high","mid-low","Mid-high","Mid-low","0.39583333299999995","0.291666667",NA,"","","1km","","Clear","I saw at least 1 WESA during the survey","2014","8","17"
"281","Collaborative",2014-08-17,"","Both Binoculars and Scope","","","","","","None","","","","ESQU2014817","Calm","Esquimalt Lagoon","ESQU","","","mid-low","mid-low","Mid-low","Mid-low","0.39583333299999995","0.291666667",NA,"1 (but quite far from shore)","","1km","1","Clear","I saw at least 1 WESA during the survey","2014","8","17"
"282","Collaborative",2014-07-19,"1","Both Binoculars and Scope","","","0.0","","","Rain","","","","EIDE2014719","Rippled","Eide Rd","EIDE","","","","N/A  * (same as English Boom)","","","0.39583333299999995","0.291666667",NA,"0","Other","<100","2","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","7","19"
"283","Single Observer",2015-08-15,"","Both Binoculars and Scope","","","","","","None","","","","KENN2015815","Rippled","","KENN","Kennedy Creek","","","","Mid-low","High-tide","10:30:00 AM","7:45:00 AM",NA,"","","1km","","Overcast","I saw at least 1 WESA during the survey","2015","8","15"
"284","Collaborative",2014-08-16,"1","Binoculars-only","","","2.0","","","","50 WESA; 0 LESA","","","ISVI2014816","Rippled","Island View","ISVI","","","Mid-high","Mid-high","Mid-high","Mid-high","0.729166667","0.416666667",NA,"0","","1km","3","Overcast","I saw at least 1 WESA during the survey","2014","8","16"
"285","Collaborative",2014-08-17,"55","Binoculars-only","","","4.0","","","None","29 WESA; 0 LESA","","","ISVI2014817","Rippled","Island View","ISVI","","","Mid-high","Mid-tide","Mid-high","Mid-tide","0.4375","0.347222222",NA,"2","","1km","101","Clear","I saw at least 1 WESA during the survey","2014","8","17"
"286","Single Observer",2014-07-19,"","Both Binoculars and Scope","No activity","","","","","None","none","","","DEEP2014719","Rippled","Deep Bay","DEEP","","","mid high","mid low","Mid-high","Mid-low","0.45833333299999995","9:15:00 AM",NA,"","","1km","","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2014","7","19"
"287","Single Observer",2014-08-18,"","Both Binoculars and Scope","","","","","","None","7 wesa; 0 lesa","","","DEEP2014818","Rippled","Deep Bay","DEEP","","","mid high","mid low","Mid-high","Mid-low","0.46875","0.375",NA,"","","1km","","Clear","I saw at least 1 WESA during the survey","2014","8","18"
"288","Single Observer",2014-08-17,"","Both Binoculars and Scope","No activity","","","","","None","","","","BB722014817","","Boundary Bay - 72nd","BB72","","","High tide","Mid low","High-tide","Mid-low","0.520833333","0.416666667",NA,"","Other","1km","","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","8","17"
"289","",2013-08-17,"4 average","Spotting scope","","","2","","","None","","","","ISVI2013817","Rippled","Island View Beach","ISVI","","","low tide","low tide","Low-tide","Low-tide","'09:40","'08:10",NA,"1","","1km","4 average","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2013","8","17"
"290","Independent",2014-08-15,"","Both Binoculars and Scope","No activity","","","","","None","","","","CHEM2014815","Rippled","Chemainus River Delta","CHEM","","","30 ft","60 ft","Mid-high","Mid-high","0.708333333","0.625",NA,"","","1km","","Overcast","I saw at least 1 WESA during the survey","2014","8","15"
"291","Collaborative",2014-08-17,"","","No activity","","","","","","1;2","","","PEDD2014817","Calm","Pedder Bay","PEDD","","","1.7 metres","1.3 metres","Mid-high","Mid-high","0.39583333299999995","0.291666667",NA,"","","1km","","Clear","I saw at least 1 WESA during the survey","2014","8","17"
"292","Single Observer",2014-08-18,"","Both Binoculars and Scope","No activity","","","","","None","","","","CROC2014818","Calm","Crockett Lake","CROC","","","5 ft","8.5 ft.","High-tide","Mid-high","0.791666667","0.708333333",NA,"","","1km","","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","8","18"
"293","",2014-07-20,"","Both","","","","","None","","","","","ROGH2014720","Rippled","","ROGH","","Rough Bay","","","Mid-low ","Low-tide","1600","1330",NA,"","Weather","250m","9","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","7","20"
"294","Single Observer",2014-08-15,"","Both Binoculars and Scope","No activity","","","","","None","Could not determine","","","BB042014815","Calm","Boundary Bay - 104th","BB04","","","3.6m","3.2m","High-tide","Mid-high","0.4375","0.333333333",NA,"","","1km","","Overcast","I saw at least 1 WESA during the survey","2014","8","15"
"295","Single Observer",2014-08-16,"","Both Binoculars and Scope","","","","","","None","could not determine","","","BB042014816","Rippled","Boundary Bay - 104th","BB04","","","3.6m","3.1m","High-tide","Mid-high","0.47916666700000005","0.375",NA,"","Weather","500m","","Overcast","I saw at least 1 WESA during the survey","2014","8","16"
"296","Collaborative",2015-08-15,"10.0","Both","","","","","None","","","0.0","1","BBSV2015815","Rippled","","BBSV","Boundary Bay Seaview","","High","Low","","","18:30","16:00",NA,"","","1km","8.0","Clear","I saw at least 1 WESA during the survey","2015","8","15"
"297","Single Observer",2014-08-17,"","Both Binoculars and Scope","No activity","","","","","None","could not determine","","","BB042014817","Rippled","Boundary Bay - 104th","BB04","","","3.5m","2.9m","High-tide","Mid-high","0.520833333","0.416666667",NA,"","","1km","","Overcast","I saw at least 1 WESA during the survey","2014","8","17"
"298","Independent",2014-08-16,"","Both Binoculars and Scope","","","6.0","","","None","","","","DEEP2014816","Calm","Deep Bay","DEEP","","","3.4 m","2.3 m","Mid-tide","Low-tide","0.375","0.28125",NA,"","","1km","1","Overcast","I saw at least 1 WESA during the survey","2014","8","16"
"299","Independent",2014-08-17,"","Both Binoculars and Scope","","","7.0","","","None","","","","DEEP2014817","","Deep Bay","DEEP","","","3.2m","2.2m","Mid-high","Mid-low","0.41666666700000005","0.34375",NA,"","","1km","5","Clear","I saw at least 1 WESA during the survey","2014","8","17"
"300","Collaborative",2015-07-19,"2.0","Both Binoculars and Scope","","","1","","","None","0 WESA; 0 LESA","","","WINT2015719","Rippled","","WINT","Winter Cove","","20m from survey point","38m from survey point","Mid-tide","Low-tide","4:30:00 PM","2:00:00 PM",NA,"5 kayaks; 5 paddlers","","1km","9","Clear","I did not observe any Western Sandpipers during the entire survey","2015","7","19"
"301","",2013-08-17,"","Spotting scope","","","","","","None","","","","NANO2013817","Rippled","Nanoose Bay","NANO","","","high","mid-low","Mid-high","Mid-low","'2:30","12 noon",NA,"","","1km","","Overcast","I did observe any Western Sandpipers during the entire survey","2013","8","17"
"302","Independent",2014-07-19,"2","Binoculars-only","","","0.0","","","None","","","","COBE2014719","Rippled","Columbia Beach","COBE","","","25 ft","150 ft","Mid-high","Mid-low","0.5","0.395833333",NA,"2","","1km","10","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2014","7","19"
"303","Independent",2014-07-20,"0","Binoculars-only","","","0.0","","","None","","","","COBE2014720","Choppy","Columbia Beach","COBE","","","20 ft.","125 ft","Mid-high","Mid-low","0.541666667","0.4375",NA,"0","","1km","5","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2014","7","20"
"304","Single Observer",2015-07-19,"","Both Binoculars and Scope","No activity","","","","","None","n/a","","","PEDD2015719","Calm","","PEDD","Pedder Bay","","1.3 metres (estimate)","0.7 metres","Mid-tide","Mid-low","2:30:00 PM","12:00:00 PM",NA,"","","1km","","Clear","I did not observe any Western Sandpipers during the entire survey","2015","7","19"
"305","Independent",2014-07-21,"1","Binoculars-only","","","0.0","","","None","","","","COBE2014721","Choppy","Columbia Beach","COBE","","","15 ft","100","Mid-high","Mid-low","0.583333333","0.479166667",NA,"1","","1km","3","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2014","7","21"
"306","Independent",2014-08-16,"2","","","","0.0","","","None","","","","COBE2014816","Rippled","Columbia Beach","COBE","","","25","150","Mid-high","Mid-low","0.41666666700000005","0.3125",NA,"0","","1km","5","Clear","I did not observe any Western Sandpipers during the entire survey","2014","8","16"
"307","Single Observer",2013-08-19,"","Both","","","","","None","","","","","IONA2013819","Rippled","","IONA","","Iona Island","","","High-tide","Mid-tide","","14:00",NA,"","","1km","1.0","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","19"
"308","Collaborative",2014-07-19,"0","Both Binoculars and Scope","","","0.0","","","None","","","","MAPL2014719","Rippled","Maplewood","MAPL","","","High-tide","Mid-tide to mid-high","High-tide","Mid-high","0.5659722220000001","0.458333333",NA,"0","","1km","2","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","7","19"
"309","Independent",2014-08-17,"","Binoculars-only","No activity","","","","","None","","","","COBE2014817","","Columbia Beach","COBE","","","15 ft","125 ft","Mid-high","Mid-low","0.45833333299999995","0.354166667",NA,"","","1km","","Clear","I did not observe any Western Sandpipers during the entire survey","2014","8","17"
"310","Collaborative",2015-08-15,"","Both","","","","","None","","","0.0","1.0","RBBP2015815","Rippled","","RBBP","Roberts Bank","","","","Mid-high ","Mid-low ","18:15","16:30",NA,"","","1km","5","Partly-Cloudy","I saw at least 1 WESA during the survey","2015","8","15"
"311","Single Observer",2014-08-18,"","Both Binoculars and Scope","No activity","","","","","None","12 WESA; 68 LESA","","","COWC2014818","Calm","Cowichan Bay","COWC","","","mid-high","mid-low","Mid-high","Mid-low","0.41666666700000005","0.3125",NA,"","","1km","","Clear","I saw at least 1 WESA during the survey","2014","8","18"
"312","Single Observer",2015-07-19,"1.0","Both Binoculars and Scope","","","","","","None","0 WESA, 5 LESA","","","NANO2015719","Calm","","NANO","Nanoose Bay","","High tide","Mid tide","High-tide","Mid-tide","7:00:00 PM","4:30:00 PM",NA,"","","1km","8","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2015","7","19"
"313","Single Observer",2014-07-19,"1","Spotting scope","","","","","","None","7 WESA; 36 LESA","","","WITT2014719","Choppy","Witty's Lagoon","WITT","","","Mid-low","Mid-low","Mid-low","Mid-low","0.39583333299999995","0.291666667",NA,"","","1km","1","Overcast","I saw at least 1 WESA during the survey","2014","7","19"
